id,language,text
18001953401528100,pt,"pa traballar para os demais hai tempo, ti falo polos demais e eso non hai salario que o paghe. dalle duro!"
18037131727803252,pt,muitas gracinhas por permetir-te leer... adorei e ressone muitíssimo...
18005688965207034,gl,pois non sabes q ilusión me fai q haxa xente coma ti q entenda estas cousinhas das vida como as entendo eu. o teu trabalho é unha aperta ao corazoncinho así q muitas apertas para ti tamén 
18116682739362020,gl, grazas por compartir estes pensamentos nos que moites nos podemos atopar
17920656995864476,gl,o que fas é grandioso! non sabía que dabas charlas por escolas. pódesme pasar máis info ao respecto para compartir no meu centro?
18020544377142776,pt,grazas por isto
17976464261533252,gl,"gracias polo que fas e compartes, sírvenos a moitas"
18053278987606760,gl,"vostede si que marca a diferencia, e aprender a construir coas mans non é incompatíbel co teu xeito de construir lol"
17957430389638056,gl,se todas e todos fosemos polo regho non haberia cultura en na incultura so gañan eles
18038332480827904,gl,grazas a vós todes! é un pracer tervos por aquí 
18006834950075208,gl,todas moi ben colocadas si señor hahaha 
18301046896197860,pt,que bonitura 
18099327523377408,pt,que coisa linda 
18227027551252064,pt,lindo demais 
18020052406887260,pt,obrigado!
18055515379511076,gl,a máis jefa
18051758935543392,gl,"que ganas teño,non me dà chegado o dìa!!"
17875408011063192,gl,xa non queda nada
18059139301554900,gl,alí estaremos coa alma disfrutona 
17882803578035916,gl,que ben ana
18052846906592380,pt,"quedou-vos, quedou-nos niquelado!"
18007063145162548,gl,gañas de verte e escoitarte
17980776146656088,pt,"sempre é un pracer verte, é si teño eses dous minutiños de case sempre despois do concerto, xa.."
18014093524957426,gl,compañeiros
18012393905178264,pt,"vinte, e revinte"
18012581306137364,gl,maríaaaaa
17979444287639384,gl,grazas minia
18412341406055464,gl,"noa, inspiración "
18413510827029388,gl,alegría 
17975012969643236,pt,maría querida
17968028498547458,pt,vervos foi xenial
18409899715010808,gl,grazas
18018030512084668,gl,grazas
18096134719388760,gl,grazas
18253000585168420,gl,moitas grazas
18307041655126016,gl, grazas por dúas noites para a memoria!!
18028002757880904,pt,"a vós, sempre"
18042770326646552,gl,foi unha sorte estar. prestoume un mundo. 
17926677575831624,gl,"bo día, guadi. son unha mestra dun cole de vigo, e para conmemorar o día da muller decoramos as portas das nosas clases dando visibilidade a artistas galegas. na miña clase decoraremos a nosa porta facendo unha biografía túa porque eres unha das artistas perfectas para reivindicar o uso do galego na música. aínda que sei que estarás moi ocupada, gustaríanos pedirche se nos podías facer unha visita, para deste xeito sexa todo máis significativo para o noso alumnado. agradézoche o teu tempo e quedo á tú disposición. un saúdo."
17940994913688762,pt,que grande guadi…
18099871033382676,gl,montaxe marabillosa. un petisquiño de vídeo resumo síntese horizonte...que presta e alimenta 
17871808437011508,gl, que ganas do  de abril!!
17991419081441324,pt,já viu essas artes?
18109471279358464,pt,muito obrigada pelo seu comemtario e de que voçe conheça as minhas artes!
17972692979694136,gl,esa última foto  (e todas as demais tamén )
18299893372158804,gl,fotaza a última!! e as outras por suposto tamén. vémonos nunhas horiñas 
18043539238685488,pt,"preciosas fotos! sentín moito tiña a entrada mais non foi posíbel, foi alba e o xenro viñeron co corazón roubado. parabéns inmensos!!"
17986293716392298,pt,! qué preciosidades!
17933491835686210,pt,como se pode mercar?
18063442450450060,pt,"adoro, vaia preciosidade "
18057037495505832,gl,jjajajajaj algún día algún día
17845076412157668,pt,preparativos de uma grande equipa e profissionais.
18415557505003000,pt,canção muito bonita e um som muito bom
17869583556014812,pt,fotazas e fermosa música!!!
18015313790496588,gl,xoia de fotos e xoia de esta versión de grazas!!! fuaaaa  aiiins! felicidade 
17988208307393344,pt,que bonito...
