id,language,text
17946665213681124,gl,"alfonso rueda é un galego exemplar, galicia o escolleu "
18029724448826448,gl, grazas dende santiso!!
18110432413344312,pt, lume neles
17998767341333884,gl,"bueno, reganosa tamén é unha bomba e a consentíchedes"
18321444304193432,gl,"os que ian industrializar galicia votan no parlamento que si e despois din que non ,.dicindo que cambiou o proxecto cando sólo houbo un."
18010809818345102,gl,"bombas sodes vos, criados de bildu, sodes os de bildugá, galfardas noxentas!!"
18008574104169628,gl, altrinon porunhaulloaviva expolio proxectosindustriasrespetuososcomedioambiente ulloalifepatrimonioinmaterialdahumanidade galiciacalidade camiñodesantiago
18118391836361708,gl, moi ben explicado
17921526101794314,gl,fala de bombas a amija dos terroristas
18333918085142432,gl,como se nota que non vives na aldea. 
18016165502036688,gl,"aquí, á beira do río uruguai, fíxose unha pantera xigante, o noso país quedou en pé, pero o goberno uruguaio continuou adiante. hoxe o balneario das cañas, a poucos quilómetros, calidade augas abaixo"
18018243206176636,pt,"altri non!!! ben falado!!! na nosa comarca rexeitamos totalmente esa barbarie!! se non nos queren escoitar, xa se daran conta de nós"
18014760689066224,gl,"ogalla... logo vai o pp cos seus sobres en tempo de eleccions e a xente esquecese de todo.. dende que teño uso de razón en galiza a xente pasase castro anos protestando pola xunta e a hora da verdade sacan sempre maioria, a ver si espavilamos dunha vez!!!"
18030710767802432,pt,férveme o sangue 
17887798278009832,gl,"agradecida con que polo menos se aplique a frase de ""rectificar e de sabios"", non podemos esquecer que no seu momento votastes a favor deste proxecto sen, posiblemente, entender ben o impacto do proxecto. aplíquese a metáfora para futuros casos. galiza precisa unha forza de oposición formada, con criterio e valor. loitemos e melloremos"
18098050222401112,pt,tómanos por parvos !!!!! altri non !!!!
18090136276425740,pt,ben falado forza
17892244649936672,gl,ogallá non se poña esa fábrica de cancros como xa temos na ría de pontevedra 
18330860032136220,gl,eu escoitei que primeiro querían poñer esa fábrica no río miño..pero é competencia do goberno central e viron que ian ter máis atrancos cos permisos. e entón decidiron poñela no río ulla porque aquí teñen máis fácil comprar ós políticos galegos da xunta de galiza que vai vender encantada ó pobo galego....
18052113796545192,gl,totalmente de acordo..eu tamén quero crer que o bng cando votou dúas veces a favor desa fábrica de cancros foi porque non tiña suficiente información.. senón non ten explicación nin perdón 
18075593956473976,pt,"altri non, celulosas nunca mais. grazas x representarme"
17976874634676568,gl,altrinon porunhaulloaviva expolio proxectosindustriasrespetuososcomedioambiente ulloalifepatrimonioinmaterialdahumanidade galiciacalidade camiñodesantiago
18432913621013744,pt,noraboa e moita sorte nesta nova singladura!
18028049983977392,pt,enhorabuena presidente!! 
17931912707833058,pt,o mellor presidente para galicia!
17921519588885172,gl,"a alfonso rueda é tan noso ,tan sencillo ,tan humilde ,cariñoso que hai que querelo sin importar as ideas políticas ,cunha persona coma él.....viva alfonso rueda é moita sorte en todas as facetas da vida ."
18064161349525948,pt,"parabens , presidente!! e parabens a galicia!!"
18027184952052836,gl,para cando un partido galeguista industrialista e retornista?
17991235556444788,pt,vamos presidente!
18001892504596068,gl,hoxe ratifícase o sentidiño en galicia noraboa!!
18291163174094624,gl,gran día pra galicia 
18085721290397392,pt,"todos ou casi todos, confiamos,as promesas hay cumprilas ,cun aperton de mans debe chegar"
18041099296785164,pt,imos! 
18085766947403144,gl,"agora só falta unha limpa nas consellerías, especialmente política social, educación e sanidade. e botar os xefes territoriais prevaricadores, que hai uns cantos."
18096251431399708,pt,estamos fronte a ence e estaremos contra altri  que non nos queimen o futuro
18110427238372444,pt,isto é anticonstitucional.
18040316458764520,pt,"é volverá a denominarse el ferrol del caudillo, dadelle tempo"
18113449591371528,gl,que vergoña!!!
18004406327523568,gl,o pp de ferrol é dos máis españolistas do país.
18144739792315488,gl,"pero iso non pode ser, é unha obriga o bilingüismo, certo?"
18433401757041496,gl,"estes practican o galegofobia, carecen de estima polo nóso. son "" españoís i mucho españois"""
17939397224809736,pt,"non soporto ao alcalde de ferrol,dame asco,pensei que non se presentaria outra vez as eleccions,pero o fixo,e toda a facheria ali foron a votalo,sabendo ben q este non fai un carallo pola cidade,triste pero certo"
17859419181095400,gl,"non é moi ""alto"" de miras o alcalde este..."
17917042310911240,gl,"noxentoooo...movilizazon popular na defensa do noso idioma....o galego. onte,hoxe e mañan na galiza en galego."
18022549507933840,pt,
17981523686655732,gl,toda unha provocación gratuíta.
18296322136082336,pt,noxo
17915133722915128,gl,"pois quen non cumple a lei, tócalle consecuencias coas autoridades pertinentes, coma calquera entendo. ao marxe de calquera outra posibilidade informativa para a responsabilidade de quen goberna e cobra cartos de todxs os galegos e galegas. q renuncien ao posto e se vaian traballar a empresa onde non rixan as normas polas que está obrigado a cumplir con esta responsabilidade. é doado. váianse."
18023932655507752,gl,o lóxico nesta panda de analfaburros.
18032662780917736,pt,"que vergoña, isto non pode estar pasando"
18024536219086532,gl,menuda sarta de gilipolleces  os que qieren impoñer o galego como única lingua sodes vos.asi vos vai en ferrol...
17850131913178666,gl,"esta a comezar o reinició do ciclo ... é como non .. o ferrol do cau ...... era visto.. fai tempo quimos de cú , costa pre baixo e a pior"
18421616656043120,pt,non che falta razom ningunha ... tempo o tempo ...
18002831429269148,gl,os galegos con méxico e jorge glas!! 
18003745796399428,gl,"e, no caso de producirse, o camiño de santiago deixaría de ser patrimonio da humanidade. como nos queren estes peperos"
18023462251877104,gl, grazas
17857376940113074,pt,deixen traballar
18009474449515956,pt,sabes o peor dijes sendo español .... jajaja mais parvos e non nacedes 
17986434623441168,gl,con esa cara de nacer polo cu ...chamas eso a miña nai ... o mero será collido no mercadona 
18113622715359720,gl,pobriño comendo mero do mercadona
18031514056848328,gl,forza compañeiro
17971305002680704,pt,normal......
18012541787328528,pt,eu tamén estou contigo.
17988734363430700,pt,"galiza ser o que queiramos, o pp terá o seu cumprido fin, e ti seguiras sendonun traidor a clase obreira"
18050893603597668,pt,"ogalla o bloque fose comunista, cos merda pepeira capitalita caciquil, seguimos afundimdo"
17844979839162000,gl,vaille pedir choio o teu alcalducho pepeiro meu 
17881437945019104,gl,"pepeiro, pobre diaño"
18018343970131064,pt,podes rie pobre pepeira
18024074647970736,gl,os que chorades sodes vos  a sánchez ou o mafias pronto sentará no banquillo e vaille durar mais co sillón de moncloa
17962893965708108,gl,"naide o vetou. él mesmo dixo que tan a gusto de que non o chamen. e que eu sepa naide lle pechou as súas redes e outras contas nas que pode faltar libremente. mentores a otros, dende o goberno central sí fan presión para censurar realidades como o caso koldo, etc... e se non que llo pregunten o risto mejide"
18016755080131128,gl,e por certo; si creés que tan ben se vive en cuba pides ir aló... pero pregunta primeiro cómo les vai? ata o pan e o polo teñen rexido. cuba; grandísima exemplo
18297968995157996,gl,polo menos non ando a chorar para cobrar pola cara  vai recoller bolas anda e deixa de perder o tempo ...que te vexo con moito tempo libre ...
18003163703389172,pt,quen fala de cuba melon?? censura e punto
18043070731596480,pt,"a pre sa toda teñena sunvencionada os pepeitos aqui, que o negues xa te califica coma estomago agradecido pepeito  e traidor a tus clase"
17851574835152832,gl,"melón  traidor a clase obreira, esquirol, vendido o pp"
18022921636995268,gl,e por certo vai faltar de esquirol que apoia os que envían os antidisturbios para que os gandeiros e agricultores non se manifiesta. un aplausa a este melón bo_booooo
18093892111398432,pt,que medo
17889597290988216,gl,"as plataformas anti eólicos ou tiralos abaixo, nom queda outra"
18055579789495616,gl,víchedes que ás poucas horas cambiaron a noticia? o titular xa namáis pon lugo.
18014178302006484,pt,son uns cabrões 
18027411538972180,gl,pois levaste equivocado desde que entraches a presidencia da xunta. darle gracias a os xuvilados que eles foron os que che votaron
18320207584124312,pt,enhoraboa xa temos o mellor presidente da galicia
17992329788413888,gl,"capacidade, ilusión, experiencia e unha bagaxe do traballo ben feito nestos anos, refrendado polo apoio masivo dos galegos . parabéns presidente"
17931703718832672,gl,que humor tes eu xa mandaba todo a tomar por... c
18012624527468148,gl,"moitos xa marchamos,déixanos que queden que loiten ou que van facer? deixarlle vía libre á máfia do pp? non queda outra!"
18031632169787048,pt,"nunca te rindas, pero non ensucies o que fan os demais para potenciar as tuas propostas"
17976616916683500,gl,"onde están os proxectos para industrializar galicia aumentando  puntos o pib? veña ! onde? menos mal que as eleccions europeas están preto e xa podemos remontar, gracias os patriotas de bildu."
18047177188713740,pt,altri fóra!!!
18343601194128252,pt,eres grande ana a roda leva mitos anos pinchada
18263289307228508,pt,"chegou pra quedar, porco fascista"
17921595671896316,gl,"pois os porcos fascistas que vides defecar aquí ao servizo da reacción, nin che conto"
18024154484032344,pt,outra vez o porco fascista obsesivo . de quitarllos aos teus amos burgueses
18021717520944752,pt,a merda do pp é merda. e temos que o dicir todos os días. a merda grandísima que é o pp
18030833737812684,gl,altri non. grazas. non podemos deixar que o pp siga convertendo galicia no estercoleiro de españa. sen ter en conta nunca os intereses do noso patrimonio natural e os dos seus cidadáns.
18055364737521072,gl,"xotaerre os sindicatos de alcoa terán que chorar polo acordo que asinaron cos propietarios, que o bng lles desaconsellou e que os levou á situación na que están, mira ti o que foron crer e mira o resultado que lles dá."
17854955919153196,pt,"fai monitos anos que os conozco, incluso os votei, pero me din conta que non quero vivir no seculo xix."
18048653401619648,gl,eu son antipolitico a min os chupon e os que os votan no me van e ti tampoco que eres dos das pagas
18035781535865780,gl,manuel_cacabelos_ xa se che nota de sobra que es appolítico e que andas a ver se pillas unha paguiña para vivires sen traballar.
18056956330569940,pt,"fendetestas_ a vella, típpica e tóppica trola de quen nunca na vida votou bng, inventade algo millor, que esa non a credes nin vós mesmos."
18025202771044668,gl,"a cabeza de pablo fracasado por mediación de ayuso e o ver como albertiño n. f. foi chorar coas orelliñas baixas onda pnv, junts (ofrecéndolles a amnistía) e erc polos votiños que precisaba para a súa fracasada investidura, e iso sen necesidade de negociarmos sequera."
18021442124144692,pt,dicimos non aos porcos fascistas vendidos a madrid
17849892900177856,pt,"dicimos non ao fascismo, cocho descerebrado"
17972083943567380,gl,porco fascista pperro aínda non superaches que frijoles non quixera ser presidente eh 
18233072803248712,pt,"porco fascista, por que non miras o que fai a burguesia depredadora? "
18123538840349544,gl,"pois ti vas morrer sen ver os bilduteiros de palleiro sen gobernar galicia nin dar pagas a retrasados e analfabetos coma ti. hala, can, pasa buscar a túa nai e pasa para cama que xa é hora de pechar o puticlub."
17854914798123052,gl,"iso verémolo, porco fascista e putero. de momento seguides (bon, os teus amos) sen gobernar españistán. e as cidades galegas fóra do voso alcance, e a fegamp, e dúas deputacións . a pesares da ppropaganda"
17892555164935274,gl,"miranda criada e chacha de bildu, das noxo, si non fora que eres cómplice do asasinato de  galegos por eta, galdrapa, gonela, pelgacha, iso e o que ti eres."
18044466202669804,gl,"no galego o ""y""non existe. no galego a ""j"" non existe. sen acritude eh."
18027643684865680,pt,"o pp llo goberno dende madrid, sempre fodendo na galiza!"
18019275323501572,gl,"porco nazi.  non se regala nada, sipaio traidor a galiza. roubannos como clase traballadora e expolian a galiza coma colonia. galiza merece algo mellor que escoura coma ti que se conforma con migallas. a otan, verme sen dignidade, é o maior grupo terrorista do mundo"
17876284020064322,gl,"por certo, porco fascista, é españistán, non españa"
